"","DOR_1","DOR_2","DOR_3","NOR_1","NOR_2","NOR_3"
"TSPAN6",4076.64656741221,3233.85085768987,3555.79871141282,3560.9610813545,3537.23614418403,3891.52101991441
"DPM1",4629.74463429229,3908.60287126043,3864.1794697088,4115.42950854069,4274.64999151808,4844.92512107552
"SCYL3",888.487320200977,662.354994948528,877.546530842261,1182.92841813539,855.909299561696,920.016408902549
"C1orf112",360.886681935938,246.169369780335,232.029252222699,300.649265416832,259.514833391132,295.542905547996
"FGR",224.573505878613,471.086707637188,128.905140123722,129.251086067049,3301.22454098682,1302.11999808385
"CFH",10473.559138793,15157.1262680935,11074.9346926296,7570.55455565188,6627.91091468371,4612.44785646036
"FUCA2",5919.32612001446,5103.14416562616,4891.45427869477,5885.6074264155,5673.09218805596,5432.30118858723
"GCLC",21814.0308504973,12374.8810887776,22033.8547591479,10976.9762949697,6890.36365184908,9357.2099007602
"NFYA",2236.909025804,1867.522305276,1749.14359367881,1473.27506074977,1011.61819959638,419.201025024145
"STPG1",311.853165368555,467.544702316608,467.033238448254,398.992483076544,199.777456648268,254.735726120867
"NIPAL3",937.52083676836,825.287239695225,847.799190813709,467.364434401867,398.575612038456,518.127520605065
"LAS1L",3390.17733546885,3348.96603060873,3481.43036134144,5111.03751208615,4787.80385075187,6378.28580257977
"ENPP4",1121.88685906172,532.1862994172,715.919316687132,540.419396091938,328.065921456714,413.018119050338
"SEMA3F",27.4587692777344,1152.92273184891,63.4609920609092,36.5274808450357,66.5924855494226,37.0974358428447
"CFTR",9.80670331347657,4.42750665072545,0,1.87320414589927,0,0
"ANKIB1",7752.19896930323,6385.35009167625,7969.31239364887,2623.42240633192,1731.40462428499,2121.97333021072
"CYP51A1",134535.220746591,47907.3929635097,83794.2905484249,32273.4342296985,32261.121344921,54144.9441938266
"KRIT1",2400.68097113906,2148.22622693199,2234.0252361442,1315.92591249423,1096.81740904931,782.755896284024
"RAD52",361.867352267285,520.674782125313,574.123662551038,450.505597088774,274.204352262328,102.636239165204
"BAD",1626.93207970576,1582.39087696928,1414.98180735809,8002.32811128167,7473.04790040652,10671.6957107917
"LAP3",5227.95353641436,4698.47005774985,4930.12582073189,5797.56683155823,6426.17485551928,6780.17469087725
"CD99",128965.993934868,118411.894370992,109456.329213055,362240.217734,333056.440667889,508830.903182848
"HS3ST1",6717.59176973145,3754.52563981519,12018.9169495356,16431.7467678284,3202.31511392076,3206.45503801655
"AOC1",0,0,3.96631200380683,3.74640829179853,23.5032301939139,9.89264955809193
"WNT16",243.206242174219,21.2520319234822,199.307178191293,4.68301036474817,95.9715232918149,35.8608546480832
"HECW1",22.5554176209961,17.7100266029018,1.98315600190341,8.4294186565467,0,4.94632477904596
"MAD1L1",744.328781492871,740.279112001296,574.123662551038,3246.26278484343,3139.63983340366,2428.64546651157
"LASP1",9685.10019238946,10336.4570267836,8348.09519001242,7538.7100851716,10349.2556953867,6981.73742562338
"SNX11",1525.92303557695,1304.34345930372,992.569578952659,1564.12546182589,1892.98933186814,1356.52957065336
"TMEM176A",204.96009925166,312.581969541217,143.778810137997,531.989977435392,1114.44483169475,761.734015973078
"M6PR",6678.36495647754,4763.11165485044,6017.88688777591,3845.68811153119,5737.72607108922,3965.7158916001
"KLHL13",377.558077568848,363.055545359487,329.203896315967,110.519044608057,185.087937777072,101.399657970442
"CYP26B1",791.400957397559,525.987790106184,590.980488567217,81.4843803466181,247.763218294175,147.153162176617
"ICA1",567.808121850293,809.348215752613,636.593076610996,404.612095514242,246.783917036095,985.555212224908
"DBNDD1",81.3956375018555,126.626690210748,79.3262400761365,140.490310942445,208.591167970985,123.658119476149
"ALS2",3690.26245686123,3198.43080448407,3520.10190337856,1808.57860286574,1289.73975689102,2537.46461165058
"CASP10",1155.22965032754,1112.18967066223,1258.31248320772,619.093970219708,757.979173753722,715.980511766903
"CFLAR",26696.7884302773,23050.4851250069,33620.4437002686,21028.5897418652,21288.0507481375,23438.1599655093
"TFPI",43795.756327655,27461.1672504596,39318.0508937371,28214.2008455347,23795.0619688216,28762.8785901523
"NDUFAF7",1205.24383722627,845.653770288562,1005.46009296503,1337.46776017208,1060.58326250036,1310.77606644718
"RBM5",9054.52916933291,7803.92322256869,9819.59694342475,11143.6914639547,7948.98831183328,6806.14289596725
"MTMR7",388.345451213672,326.749990823539,365.89228235118,396.182676857695,271.266448488089,351.189059312263
"SLC7A2",4886.68026110537,9698.89606907918,6872.62712459628,777.379720548195,937.191303982315,2601.76683377818
"ARF5",6646.00283554307,6722.72609846153,5076.87936487274,16071.1549697428,23623.6842486577,21494.2543273442
"SARM1",7648.24791418037,5139.44972016211,6706.04202043639,2392.08169431336,2354.2402244237,3017.25811521804
"POLDIP2",12780.0957581227,11237.0118795412,13936.6288033762,20519.0782141806,15612.0206563073,18685.9784340409
"PLXND1",7075.53644067334,10247.021392439,7274.21621498172,6774.4427936447,6774.80610339567,9039.4085337065
"AK2",13574.4387265143,9790.10270608412,12771.524652258,16266.9048029892,12962.0314519435,18284.0895457434
"CD38",119.641780424414,86.7791303542189,130.888296125625,80.5477782736685,283.997364843126,194.143247577554
"FKBP4",6443.98474728545,6042.6610769101,7470.54865917016,6292.09272607564,6544.67030774693,7395.99212586848
"KDM1A",4321.81415024912,4534.65231167301,5505.24106128388,5519.39601589219,3939.72896125481,4221.68819891573
"RBM6",10697.1519743402,12612.1954452565,10549.3983521252,16853.2177006557,11851.5038252811,10180.7729764714
"CAMKK1",1420.01063979141,2791.10019261733,1898.87187182252,2273.13323104876,2512.88702823262,2281.49230433495
"RECQL",4127.64142464229,3306.46196676177,3777.912183626,1024.6426678069,1757.84575825314,1635.99692066945
"VPS50",1213.08919987705,1064.3725988344,1321.77347526863,1005.91062634791,512.174557975706,453.825298477467
"HSPB6",220.650824553223,795.180194470292,280.616574269333,949.714501970928,385.844695683419,369.737777233686
"ARHGAP33",732.5607375167,1166.20525180108,1186.91886713919,2076.44679572934,1076.25208262964,551.515212863625
"NDUFAB1",2399.70030080772,1727.61309511307,1787.81513571593,6067.30822856772,5107.05606088586,6368.39315302168
"PDK4",5380.93810810459,2745.05412344978,6716.94937844686,2639.34464157207,1520.85485379784,934.855383239687
"SLC22A16",3.92268132539063,24.7940372440625,31.7304960304546,42.1470932827335,0,27.2047862847528
"ZMYND10",15.6907253015625,0,24.7894500237927,145.173321307193,53.8615691943859,65.538803322359
"ARX",11.7680439761719,169.130754057712,3.96631200380683,0,0,0
"SLC25A13",8318.04575049082,7417.84464262543,8259.84474792772,6140.3631902578,4363.76640600334,4809.06426642744
"ST7",2442.84979538701,3404.75261440787,3258.32531112731,1811.38840908459,3509.8157089578,2306.22392823018
"CDC27",5074.96896472412,4305.30746716543,4602.90508041782,1124.85908961251,2014.42268787003,1738.63315983466
"SLC4A1",202.018088257617,121.313682229877,7.93262400761366,6.55621451064743,70.5096905817416,579.956580343139
"HCCS",1173.86238662315,985.562980451486,968.771706929818,1180.11861191654,1303.44997450414,1178.4618786077
"DVL2",2130.01595968711,2024.25604071168,2282.61255819083,2542.87462805825,1811.70732744753,1391.15384410668
"PRSS22",0,932.432900642781,0,0,4.89650629039872,46.9900854009366
"UPF1",4162.9455565708,5084.54863769311,4488.87361030838,4778.54377618903,5052.2151904334,3056.8287134504
"SKAP2",1069.91133150029,1323.82448856691,707.986692679519,779.252924694095,1436.63494560298,688.77572548215
"SLC25A5",14112.8267384241,15745.0991513099,12286.6430097926,33993.9722377069,27518.3653520408,25019.7473136092
"MCUB",2233.96701480996,1545.19982110318,1626.1879215608,2125.15010352272,3013.30997111137,2690.800679801
"POLR2J",1448.45007940049,1610.72691953392,1183.94413313634,4749.50911192759,3805.56468889788,5260.41640251538
"DHX33",2353.60879523438,2714.94707822485,3141.31910701501,654.684848991794,857.867902077856,749.368204025463
"MEOX1",0,0,0,0,19.5860251615949,0
"THSD7A",1332.73098030147,1545.19982110318,1422.9144313657,239.770130675106,336.879632779432,583.666323927424
"LIG3",2048.62032218525,2300.53245571695,2816.08152270285,2397.70130675106,1558.06830160487,1643.41640783802
"RPAP3",2007.43216826865,1793.14019354381,1590.49111352654,1222.26570519927,1328.91180721421,942.274870408256
"ACSM3",6497.92161550957,4361.97955229472,6252.89087400146,7634.24349661246,11540.0860252117,5670.9613591762
"REXO5",503.083879981348,348.002022747021,386.715420371166,1897.55579979596,1372.00106256972,599.741879459323
"CIAPIN1",2700.76609253145,2699.00805428224,2542.40599444018,4448.85984651076,3367.81702653624,4239.00033564239
"SPPL2B",5820.27841654834,8459.19420687605,8481.9582201409,15495.1446948787,12184.4662530282,11541.012290709
"FAM214B",1670.08157428506,1646.14697273972,1555.78588349323,2340.56858030113,3238.54926046971,1744.81606580846
"COPZ2",80.4149671705079,67.2981010910269,35.6968080342614,236.960324456257,312.397101327438,225.057777446591
"PRKAR2B",81084.7650068183,66615.379565485,119681.481558869,69660.7157777019,44332.96795327,41069.3346404186
"MSL3",2994.96719193574,3240.93486833103,3145.28541901881,1679.32751679869,2617.67226284716,2074.98324480978
"CREBBP",8250.37949762784,7644.53298314257,10453.2152860329,4746.69930570874,4545.91644000617,4295.88307060142
"TSPOAP1",292.239758741602,408.216113196887,287.557620275995,124.568075702301,1729.44602176883,534.203076136964
"MPO",0,495.880744881251,12.8905140123722,0,144.936586195802,0
"PON1",0,28.3360425646429,0,6.55621451064743,0,0
"GCFC2",848.279836615723,1177.71676909297,852.757080818468,1229.75852178287,631.649311461435,900.231109786365
"WDR54",1061.08529851816,818.203229054064,992.569578952659,3633.07944097163,2617.67226284716,3468.61025130598
"CROT",4394.38375476885,2853.97078705763,4695.12183450633,2342.44178444703,1384.73197892476,2265.41674880305
"ABCB4",13.7293846388672,7.08401064116073,12.8905140123722,19.6686435319423,34.275544032791,37.0974358428447
"KMT2E",7469.7659138751,7121.20169702682,10227.1355018159,2302.1678953102,2644.11339681531,2741.50050878623
