gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
TSPAN6,4157,3652,3586,3802,3612,3147
TNMD,4,0,0,0,0,0
DPM1,4721,4414,3897,4394,4365,3918
SCYL3,906,748,885,1263,874,744
C1orf112,368,278,234,321,265,239
FGR,229,532,130,138,3371,1053
CFH,10680,17117,11169,8083,6768,3730
FUCA2,6036,5763,4933,6284,5793,4393
GCLC,22244,13975,22221,11720,7036,7567
NFYA,2281,2109,1764,1573,1033,339
STPG1,318,528,471,426,204,206
NIPAL3,956,932,855,499,407,419
LAS1L,3457,3782,3511,5457,4889,5158
ENPP4,1144,601,722,577,335,334
SEMA3F,28,1302,64,39,68,30
CFTR,10,5,0,2,0,0
ANKIB1,7905,7211,8037,2801,1768,1716
CYP51A1,137187,54102,84506,34458,32943,43786
KRIT1,2448,2426,2253,1405,1120,633
RAD52,369,588,579,481,280,83
BAD,1659,1787,1427,8544,7631,8630
LAP3,5331,5306,4972,6190,6562,5483
CD99,131508,133723,110386,386760,340096,411482
HS3ST1,6850,4240,12121,17544,3270,2593
AOC1,0,0,4,4,24,8
WNT16,248,24,201,5,98,29
HECW1,23,20,2,9,0,4
MAD1L1,759,836,579,3466,3206,1964
LASP1,9876,11673,8419,8049,10568,5646
SNX11,1556,1473,1001,1670,1933,1097
TMEM176A,209,353,145,568,1138,616
M6PR,6810,5379,6069,4106,5859,3207
KLHL13,385,410,332,118,189,82
CYP26B1,807,594,596,87,253,119
ICA1,579,914,642,432,252,797
DBNDD1,83,143,80,150,213,100
ALS2,3763,3612,3550,1931,1317,2052
CASP10,1178,1256,1269,661,774,579
CFLAR,27223,26031,33906,22452,21738,18954
TFPI,44659,31012,39652,30124,24298,23260
NDUFAF7,1229,955,1014,1428,1083,1060
RBM5,9233,8813,9903,11898,8117,5504
MTMR7,396,369,369,423,277,284
SLC7A2,4983,10953,6931,830,957,2104
ARF5,6777,7592,5120,17159,24123,17382
SARM1,7799,5804,6763,2554,2404,2440
POLDIP2,13032,12690,14055,21908,15942,15111
PLXND1,7215,11572,7336,7233,6918,7310
AK2,13842,11056,12880,17368,13236,14786
CD38,122,98,132,86,290,157
FKBP4,6571,6824,7534,6718,6683,5981
KDM1A,4407,5121,5552,5893,4023,3414
RBM6,10908,14243,10639,17994,12102,8233
CAMKK1,1448,3152,1915,2427,2566,1845
RECQL,4209,3734,3810,1094,1795,1323
VPS50,1237,1202,1333,1074,523,367
HSPB6,225,898,283,1014,394,299
ARHGAP33,747,1317,1197,2217,1099,446
NDUFAB1,2447,1951,1803,6478,5215,5150
PDK4,5487,3100,6774,2818,1553,756
SLC22A16,4,28,32,45,0,22
ZMYND10,16,0,25,155,55,53
ARX,12,191,4,0,0,0
